,word,count
0,the,3865
1,to,2250
2,and,1841
3,of,1498
4,a,1371
5,i,1312
6,that,1119
7,you,1085
8,in,919
9,was,773
10,he,761
11,as,684
12,had,575
13,is,568
14,for,561
15,it,548
16,not,543
17,with,520
18,his,517
19,but,490
20,on,488
21,be,462
22,by,437
23,have,431
24,at,431
25,said,408
26,mr,342
27,my,334
28,they,330
29,miss,322
30,this,320
31,squire,318
32,if,317
33,who,317
34,we,311
35,will,304
36,so,303
37,goodall,298
38,your,298
39,were,283
40,do,279
41,been,275
42,are,271
43,or,263
44,him,262
45,what,254
46,her,243
47,which,239
48,from,235
49,no,226
50,me,217
51,sir,210
52,would,203
53,up,198
54,falcon,198
55,doctor,197
56,when,194
57,an,194
58,dove,188
59,about,187
60,all,184
61,she,165
62,then,161
63,may,158
64,chain,157
65,balloon,155
66,more,155
67,them,154
68,captain,154
69,warner,151
70,there,151
71,harry,149
72,am,149
73,has,148
74,us,147
75,man,147
76,out,146
77,see,145
78,some,144
79,now,142
80,can,141
81,very,140
82,well,140
83,trigger,138
84,their,138
85,one,137
86,must,136
87,know,134
88,aeronaut,132
89,down,131
90,after,129
91,dont,127
92,say,125
93,time,123
94,could,116
95,before,115
96,here,114
97,yes,107
98,any,106
99,into,105
100,much,105
101,did,104
102,way,102
103,go,100
104,lucy,100
105,cried,99
106,should,98
107,just,96
108,tom,95
109,link,93
110,how,93
111,two,92
112,our,91
113,like,90
114,project,90
115,where,90
116,other,89
117,seen,89
118,asked,88
119,than,86
120,gutenberg,86
121,shall,86
122,while,84
123,going,83
124,made,83
125,think,81
126,good,80
127,might,79
128,croft,78
129,over,78
130,make,76
131,though,76
132,lady,75
133,work,74
134,however,74
135,tell,74
136,bennet,74
137,palace,73
138,such,72
139,off,71
140,heard,70
141,replied,69
142,soon,69
143,most,68
144,too,67
145,take,67
146,left,66
147,men,66
148,come,65
149,peters,65
150,look,65
151,first,64
152,park,63
153,little,63
154,thought,63
155,these,63
156,mind,63
157,let,62
158,only,62
159,edith,62
160,came,61
161,dear,61
162,hear,61
163,get,60
164,name,60
165,friend,59
166,oh,59
167,wedwell,59
168,hope,59
169,quite,59
170,himself,58
171,being,57
172,cloth,56
173,right,55
174,upon,55
175,present,55
176,8vo,55
177,long,54
178,once,54
179,having,53
180,crown,53
181,give,53
182,told,52
183,chapter,52
184,young,52
185,gentleman,51
186,something,50
187,near,50
188,perhaps,49
189,same,49
190,back,49
191,great,48
192,another,48
193,daughter,48
194,detective,48
195,without,47
196,board,47
197,uncle,45
198,through,45
199,master,45
200,never,44
201,took,44
202,better,44
203,keep,42
204,wish,41
205,far,41
206,own,40
207,air,40
208,want,40
209,ladies,40
210,certainly,40
211,financier,39
212,hawksworth,39
213,hall,38
214,believe,38
215,works,38
216,ill,38
217,exclaimed,38
218,father,38
219,looking,38
220,sure,38
221,please,38
222,why,37
223,under,37
224,author,37
225,day,37
226,those,37
227,whilst,37
228,further,37
229,course,36
230,eben,36
231,taken,36
232,newhaven,36
233,crystal,36
234,indeed,36
235,leave,36
236,away,35
237,went,35
238,sea,35
239,until,35
240,anything,35
241,moment,35
242,face,35
243,towards,35
244,saw,34
245,added,34
246,new,34
247,place,34
248,done,34
249,coming,34
250,idea,33
251,old,33
252,ballooning,33
253,found,33
254,again,33
255,part,33
256,really,32
257,aeronauts,32
258,mean,32
259,looked,32
260,hand,32
261,word,31
262,its,31
263,6_d_,31
264,case,31
265,doves,31
266,sydenham,30
267,people,30
268,last,30
269,fellow,30
270,carriage,30
271,car,30
272,side,30
273,ship,30
274,_just,30
275,flying,30
276,terms,29
277,glad,29
278,doubt,29
279,even,29
280,myself,29
281,full,29
282,turn,29
283,seemed,29
284,cannot,29
285,gas,29
286,whom,29
287,both,28
288,next,28
289,use,28
290,train,28
291,fear,28
292,im,28
293,suppose,28
294,yet,28
295,rather,28
296,likely,28
297,state,28
298,electronic,27
299,met,27
300,fact,27
301,find,27
302,wind,27
303,nothing,27
304,news,27
305,still,27
306,skipper,26
307,gave,26
308,morning,26
309,round,26
310,wanted,26
311,few,26
312,boat,26
313,show,26
314,gamekeeper,26
315,goodalls,26
316,william,26
317,turning,25
318,doing,25
319,whether,25
320,head,25
321,many,25
322,out_,25
323,companion,25
324,kind,25
325,hold,25
326,mrs,25
327,falcons,25
328,knew,25
329,letter,25
330,meet,25
331,feel,25
332,sight,25
333,point,24
334,poor,24
335,person,24
336,short,24
337,whose,24
338,mother,24
339,story,24
340,gone,24
341,also,24
342,foundation,24
343,life,24
344,yourself,24
345,brought,24
346,shot,24
347,novel,24
348,attention,24
349,information,24
350,sydney,24
351,hour,24
352,thats,23
353,friends,23
354,lugger,23
355,aerial,23
356,lake,23
357,understand,23
358,noticed,23
359,ascent,23
360,3_s_,23
361,nor,23
362,arrival,23
363,return,22
364,visit,22
365,given,22
366,brother,22
367,felt,22
368,water,22
369,vessel,22
370,below,22
371,speak,22
372,ask,22
373,someone,21
374,got,21
375,read,21
376,although,21
377,flight,21
378,henry,21
379,saying,21
380,power,21
381,party,21
382,servant,21
383,already,21
384,three,21
385,close,21
386,besides,21
387,distance,21
388,simon,21
389,try,21
390,coast,21
391,possible,21
392,balloons,21
393,nephew,21
394,notice,21
395,london,21
396,getting,20
397,agreement,20
398,since,20
399,afterwards,20
400,states,20
401,set,20
402,able,20
403,pray,20
404,squires,20
405,known,20
406,feet,20
407,wont,20
408,appeared,20
409,almost,20
410,scudder,19
411,copyright,19
412,stop,19
413,making,19
414,account,19
415,gentlemen,19
416,anyone,19
417,agree,19
418,lewes,19
419,sussex,19
420,anxious,19
421,_neptune_,19
422,immediately,19
423,policeman,19
424,united,19
425,against,19
426,second,19
427,help,19
428,chains,19
429,supposed,19
430,sent,18
431,together,18
432,room,18
433,etc,18
434,6_s_,18
435,presently,18
436,eyes,18
437,eye,18
438,steward,18
439,merchant,18
440,quiet,18
441,photo,18
442,began,18
443,door,18
444,put,18
445,happened,18
446,among,18
447,station,17
448,call,17
449,balloonists,17
450,stewardess,17
451,taking,17
452,rope,17
453,ever,17
454,cherbourg,17
455,entered,17
456,thank,17
457,possibly,17
458,words,17
459,thinking,17
460,matter,17
461,hands,17
462,deck,17
463,knowing,17
464,airship,17
465,opinion,17
466,affair,17
467,unless,17
468,alone,17
469,trying,17
470,passed,17
471,open,17
472,caught,17
473,behind,17
474,less,17
475,lost,17
476,book,17
477,girl,17
478,excuse,17
479,license,17
480,cause,17
481,ready,17
482,country,17
483,sort,16
484,literary,16
485,cant,16
486,certain,16
487,drew,16
488,end,16
489,lower,16
490,daresay,16
491,best,16
492,comes,16
493,didnt,16
494,held,16
495,assistance,16
496,general,16
497,interest,16
498,listen,16
499,thing,16
500,maria,16
501,others,16
502,during,16
503,became,15
504,trip,15
505,bring,15
506,line,15
507,coachman,15
508,donations,15
509,plan,15
510,fresh,15
511,police,15
512,clouds,15
513,french,15
514,bag,15
515,along,15
516,object,15
517,papa,15
518,view,15
519,either,15
520,act,15
521,forget,15
522,true,15
523,called,15
524,edition_,15
525,paragraph,15
526,workroom,15
527,mention,15
528,turned,15
529,inside,15
530,business,15
531,direction,15
532,means,14
533,pilot,14
534,house,14
535,between,14
536,amateur,14
537,kept,14
538,drop,14
539,street,14
540,attempt,14
541,effect,14
542,within,14
543,wrong,14
544,each,14
545,following,14
546,talk,14
547,strong,14
548,archive,14
549,start,14
550,order,14
551,aware,14
552,today,14
553,fly,14
554,especially,14
555,large,14
556,property,14
557,change,14
558,easily,14
559,several,14
560,essex,14
561,promised,13
562,arrived,13
563,whispered,13
564,cabin,13
565,including,13
566,ah,13
567,question,13
568,strange,13
569,moving,13
570,links,13
571,remarks,13
572,money,13
573,because,13
574,half,13
575,telegram,13
576,tower,13
577,tall,13
578,f,13
579,spot,13
580,dinner,13
581,aloft,13
582,observed,13
583,does,13
584,owing,13
585,names,13
586,expected,13
587,check,13
588,warners,13
589,follow,13
590,provided,13
591,theres,13
592,pay,13
593,attack,13
594,always,13
595,seeing,13
596,send,13
597,trademark,13
598,evening,13
599,character,13
600,catch,13
601,local,13
602,presence,13
603,gray,13
604,position,13
605,brothers,12
606,written,12
607,hat,12
608,beyond,12
609,photographer,12
610,longer,12
611,ebook,12
612,assistant,12
613,dieppe,12
614,seems,12
615,stay,12
616,things,12
617,somewhat,12
618,join,12
619,allow,12
620,worship,12
621,professor,12
622,patient,12
623,c,12
624,railway,12
625,explain,12
626,ive,12
627,ought,12
628,bow,12
629,spectacles,12
630,reply,12
631,produced,12
632,chat,12
633,access,12
634,copy,12
635,free,12
636,minutes,12
637,night,12
638,visitors,12
639,south,12
640,doctors,12
641,paid,12
642,parachutes,12
643,clothes,12
644,proposed,12
645,expecting,12
646,remain,12
647,outside,12
648,carry,12
649,ahead,12
650,sharp,12
651,herself,12
652,prepared,12
653,every,12
654,enough,12
655,important,12
656,welcome,12
657,knows,12
658,saved,12
659,trees,12
660,confidence,12
661,placed,12
662,owner,11
663,scheme,11
664,else,11
665,received,11
666,agreed,11
667,sorry,11
668,late,11
669,scientific,11
670,forth,11
671,suddenly,11
672,fast,11
673,afraid,11
674,original,11
675,action,11
676,dark,11
677,glass,11
678,disappeared,11
679,firearms,11
680,land,11
681,upper,11
682,latest,11
683,situation,11
684,reason,11
685,merely,11
686,yacht,11
687,opportunity,11
688,haywards,11
689,heath,11
690,machine,11
691,fixed,11
692,kenealy,11
693,care,11
694,overboard,11
695,desire,11
696,edition,11
697,small,11
698,move,11
699,shadow,11
700,tried,11
701,charge,11
702,filcher,11
703,cook,11
704,ground,11
705,proved,11
706,provide,11
707,least,11
708,probably,11
709,different,11
710,acquaintance,11
711,harbour,11
712,engaged,11
713,happen,11
714,directly,11
715,sound,11
716,followed,11
717,dropped,11
718,laws,10
719,english,10
720,candid,10
721,talking,10
722,whatever,10
723,across,10
724,length,10
725,proceed,10
726,ordered,10
727,bad,10
728,stranger,10
729,silk,10
730,beneath,10
731,nearer,10
732,fired,10
733,cab,10
734,neither,10
735,wished,10
736,run,10
737,road,10
738,begged,10
739,explained,10
740,report,10
741,connected,10
742,accident,10
743,refund,10
744,views,10
745,upset,10
746,returned,10
747,days,10
748,evidently,10
749,saunders,10
750,serious,10
751,surely,10
752,figure,10
753,law,10
754,bit,10
755,hotel,10
756,wings,10
757,_panther_,10
758,advice,10
759,clear,10
760,remarked,10
761,sooner,10
762,forward,10
763,expect,10
764,fog,10
765,strive,10
766,ve,10
767,early,10
768,mine,10
769,fee,10
770,boulogne,10
771,evidence,10
772,scarcely,10
773,fail,10
774,seem,10
775,cut,10
776,form,10
777,respect,10
778,located,10
779,world,10
780,love,10
781,fugitives,10
782,safety,10
783,need,10
784,weather,10
785,hurried,10
786,using,9
787,rest,9
788,chance,9
789,spy,9
790,themselves,9
791,lane,9
792,begin,9
793,channel,9
794,experiment,9
795,wishes,9
796,public,9
797,extent,9
798,leaving,9
799,occurred,9
800,fair,9
801,subject,9
802,faith,9
803,storm,9
804,kindly,9
805,financial,9
806,suggested,9
807,dr,9
808,regret,9
809,pursuit,9
810,couldnt,9
811,special,9
812,thoroughly,9
813,above,9
814,shortly,9
815,ascents,9
816,proceeded,9
817,north,9
818,private,9
819,grounds,9
820,voice,9
821,current,9
822,times,9
823,considerable,9
824,crew,9
825,appearance,9
826,valve,9
827,hush,9
828,scudders,9
829,escape,9
830,mystery,9
831,pocket,9
832,familiar,9
833,mariner,9
834,useful,9
835,watch,9
836,ay,9
837,number,9
838,paper,9
839,clever,9
840,rose,9
841,harm,9
842,worth,9
843,continued,9
844,wound,9
845,mere,9
846,fine,9
847,therefore,9
848,entirely,9
849,mate,9
850,instead,9
851,rescue,9
852,fully,9
853,meeting,9
854,slip,9
855,light,9
856,perceive,9
857,carpenter,9
858,net,9
859,accompanied,9
860,movements,9
861,god,9
862,trimmons,9
863,hearing,9
864,style,9
865,excellent,9
866,alluding,9
867,pretty,8
868,wonderful,8
869,suitable,8
870,step,8
871,companions,8
872,persons,8
873,pity,8
874,confederate,8
875,surprise,8
876,support,8
877,lift,8
878,introduced,8
879,throw,8
880,_retriever_,8
881,stood,8
882,fall,8
883,manner,8
884,mistaken,8
885,conversation,8
886,steamer,8
887,aid,8
888,manager,8
889,moved,8
890,used,8
891,lot,8
892,speaking,8
893,machines,8
894,trial,8
895,circumstances,8
896,plain,8
897,bank,8
898,assist,8
899,mission,8
900,arabella,8
901,nearly,8
902,heavy,8
903,due,8
904,returning,8
905,matters,8
906,mistake,8
907,authorities,8
908,ourselves,8
909,hurry,8
910,struck,8
911,wouldnt,8
912,mentioned,8
913,recollect,8
914,blucher,8
915,youre,8
916,permission,8
917,dat,8
918,sand,8
919,compliance,8
920,rescued,8
921,meanwhile,8
922,beg,8
923,deal,8
924,reached,8
925,dry,8
926,service,8
927,comply,8
928,drawn,8
929,remember,8
930,fit,8
931,guns,8
932,induced,8
933,son,8
934,affairs,8
935,officer,8
936,bright,8
937,lose,8
938,intended,8
939,craft,8
940,cottage,8
941,answer,8
942,depend,8
943,masters,8
944,w,8
945,knight,8
946,cape,8
947,black,8
948,scene,8
949,picture,8
950,attached,8
951,thus,8
952,grapnel,8
953,bags,8
954,high,8
955,giving,8
956,remark,8
957,clearly,8
958,lookout,8
959,fortune,8
960,avoid,7
961,digby,7
962,arrest,7
963,drag,7
964,newspaper,7
965,four,7
966,woman,7
967,considered,7
968,future,7
969,triggers,7
970,weights,7
971,named,7
972,cast,7
973,recent,7
974,feeling,7
975,rise,7
976,freely,7
977,series,7
978,particularly,7
979,manage,7
980,successful,7
981,ships,7
982,town,7
983,goes,7
984,pleased,7
985,clerk,7
986,remarkable,7
987,front,7
988,_in,7
989,reading,7
990,heart,7
991,acquainted,7
992,anyrate,7
993,coat,7
994,afternoon,7
995,prove,7
996,injured,7
997,wait,7
998,minute,7
999,looks,7
1000,injury,7
1001,approaching,7
1002,cash,7
1003,caused,7
1004,spirit,7
1005,goodness,7
1006,slight,7
1007,tomorrow,7
1008,handed,7
1009,necessary,7
1010,influence,7
1011,fathers,7
1012,honour,7
1013,altogether,7
1014,express,7
1015,descended,7
1016,venture,7
1017,prevent,7
1018,previously,7
1019,alarmed,7
1020,de,7
1021,force,7
1022,eh,7
1023,oui,7
1024,quickly,7
1025,tax,7
1026,accepted,7
1027,broke,7
1028,worse,7
1029,ascended,7
1030,directors,7
1031,distributing,7
1032,copies,7
1033,associated,7
1034,section,7
1035,ebooks,7
1036,gun,7
1037,spare,7
1038,according,7
1039,pass,7
1040,haste,7
1041,attempted,7
1042,safe,7
1043,bewildered,7
1044,luck,7
1045,perfectly,7
1046,wounded,7
1047,requested,7
1048,gale,7
1049,seriously,7
1050,falling,7
1051,carried,7
1052,passing,7
1053,military,7
1054,straight,7
1055,orders,7
1056,believed,7
1057,yonder,7
1058,lofty,7
1059,greatly,7
1060,firm,7
1061,surprised,7
1062,working,7
1063,become,7
1064,occasion,7
1065,raise,7
1066,everything,7
1067,fortunately,7
1068,disguise,7
1069,hit,7
1070,appear,7
1071,smoke,7
1072,exactly,7
1073,rely,7
1074,determined,7
1075,prisoner,7
1076,s,6
1077,moonlight,6
1078,pond,6
1079,hobby,6
1080,led,6
1081,refreshment,6
1082,bringing,6
1083,delighted,6
1084,duty,6
1085,pointed,6
1086,speed,6
1087,horse,6
1088,offer,6
1089,truly,6
1090,waiting,6
1091,merchants,6
1092,advance,6
1093,third,6
1094,library,6
1095,square,6
1096,medium,6
1097,hired,6
1098,fight,6
1099,alarming,6
1100,aside,6
1101,additional,6
1102,holding,6
1103,trap,6
1104,says,6
1105,portrait,6
1106,reference,6
1107,standing,6
1108,noise,6
1109,rapidly,6
1110,voyage,6
1111,live,6
1112,arms,6
1113,watching,6
1114,legs,6
1115,none,6
1116,society,6
1117,box,6
1118,allude,6
1119,risk,6
1120,sudden,6
1121,flighty,6
1122,address,6
1123,motion,6
1124,distribution,6
1125,bound,6
1126,fetch,6
1127,oclock,6
1128,thicket,6
1129,simply,6
1130,personal,6
1131,russell,6
1132,false,6
1133,direct,6
1134,miles,6
1135,propose,6
1136,gravesend,6
1137,favour,6
1138,photograph,6
1139,hours,6
1140,required,6
1141,nonsense,6
1142,conduct,6
1143,cross,6
1144,anarchist,6
1145,forthwith,6
1146,driven,6
1147,crossbow,6
1148,voyagers,6
1149,actually,6
1150,practical,6
1151,saloon,6
1152,ascend,6
1153,advantage,6
1154,rough,6
1155,cry,6
1156,frightened,6
1157,started,6
1158,janet,6
